id,Longitude,Latitude,vs30,BuildingClass,DamageState
0,13.430659720215068,42.30248535629505,529.9337,A,0
1,13.28876492748401,42.39642922039322,509.20395,A,3
2,13.365189700000002,42.36592188849375,450.50436,A,3
3,13.402772942986308,42.34871962493701,453.86163,A,1
4,13.4005591521729,42.352410094098936,455.2407,A,3
5,13.494269143835483,42.32895867940053,371.37045,A,3
6,13.348182763904584,42.342591130576025,441.69653,A,2
7,13.312924641654924,42.39943573781706,451.7007,A,3
8,13.399006700000005,42.343980288474576,556.02625,A,2
9,13.240281016256237,42.402967950203575,451.87497,A,0
10,13.340738047246074,42.37212524111517,450.77905,A,1
11,13.470153216557987,42.357995749015096,428.4318,A,3
12,13.49494703485214,42.328121581220245,371.37045,A,3
13,13.391629400000005,42.35457798848392,497.89334,A,2
14,13.35530918362864,42.36621835518449,407.1217,A,3
15,13.399648125497016,42.35343514421933,455.22208,A,1
16,13.3952816,42.351941488481565,498.50095,A,3
17,13.409138758233391,42.362787290595165,455.15997,A,0
18,13.468412677514412,42.35932115937471,428.30173,A,3
19,13.394238168154798,42.35199014597642,440.79144,A,1
20,13.34391276170139,42.34200958623409,461.61185,A,3
21,13.398266473117186,42.35040823001676,454.35764,A,1
22,13.279172200000003,42.39332989425883,472.5373,A,3
23,13.457921693436813,42.39602039645635,462.56107,A,2
24,13.477187614790038,42.32665613195056,291.1554,A,2
25,13.422254780481913,42.339924979145145,551.5197,A,1
26,13.461147000000002,42.3188605884527,371.37045,A,2
27,13.389786999999991,42.35956838848819,451.20157,A,3
28,13.495719589337188,42.32682918881736,371.37045,A,2
29,13.3957514,42.342884688473646,471.65158,A,3
30,13.312511923219132,42.3522654611286,451.15405,A,2
31,13.294285427784605,42.37771954028123,496.6547,A,3
32,13.410359772109908,42.35867823995337,455.25928,A,1
33,13.395882,42.34884028847883,536.0559,A,3
34,13.416352799999997,42.32385648845703,448.9341,A,2
35,13.51973704603924,42.37743190249248,435.3471,A,2
36,13.45938420722486,42.36451252672743,427.67313,A,3
37,13.39431435673036,42.35334351536414,501.82816,A,3
38,13.453764389647128,42.33830880076656,448.81265,A,2
39,13.41090589944093,42.327653642780206,450.03345,A,1
40,13.463546452360362,42.36527373371258,433.94858,A,2
41,13.400989224554772,42.34715263308462,453.20468,A,2
42,13.301900344947152,42.33317882685673,467.91635,A,3
43,13.375535899999996,42.360116688488695,407.00665,A,2
44,13.4095472,42.33410448846597,449.31064,A,3
45,13.418756287982522,42.39780611169054,441.00125,A,3
46,13.476177648543224,42.3553476417153,428.39224,A,3
47,13.449403696365785,42.363678981669096,394.83755,A,3
48,13.35070851124424,42.33138869512991,410.25555,A,2
49,13.3921178,42.35671439424284,450.7585,A,3
50,13.401008500000003,42.36429918849234,456.60916,A,2
51,13.39370289112645,42.3489346986172,494.38168,A,0
52,13.296699711467552,42.315541310082814,464.53128,A,2
53,13.473368887276958,42.35915069141087,452.20898,A,1
54,13.464378784503252,42.362894833441,397.6335,A,3
